player,player_id,position,team_name,player_game_count,assists,avg_depth_of_tackle,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,missed_tackle_rate,missed_tackles,penalties,run_stop_opp,snap_counts_run,stop_percent,stops,tackles
Trayvon Henderson,51394,S,CIN,1,2,9.5,0,0,7,56.4,36.8,73.7,57.2,29.4,46.8,0.0,0,0,34,34,0.0,0,2
Roderic Teamer,51405,S,LV,7,2,6.6,0,0,23,56.4,55.1,78.7,50.5,54.1,50.4,0.0,0,1,81,85,2.5,2,5
Marcell Harris,51408,LB,SF,13,9,3.2,0,0,28,48.8,47.7,79.1,71.9,47.0,41.5,11.1,3,1,158,161,5.1,8,15
Jaylinn Hawkins,51423,S,ATL,14,3,7.5,0,0,2,60.9,58.8,43.4,68.6,53.6,46.2,8.3,1,2,193,197,1.0,2,8
Jaquan Johnson,51433,S,BUF,7,3,5.3,0,0,4,68.8,67.9,78.3,60.0,57.9,51.2,0.0,0,0,51,51,2.0,1,3
Chase Hansen,51448,LB,NO,1,0,,0,0,20,,60.5,64.1,,60.0,,,0,0,1,1,0.0,0,0
Kaden Elliss,51485,ED,NO,13,5,1.3,0,0,20,49.4,68.4,83.7,67.0,78.3,66.9,10.0,1,1,90,92,4.4,4,4
Dorian O'Daniel,51487,LB,KC,3,1,3.0,0,0,16,74.8,83.0,73.7,69.5,72.5,77.5,0.0,0,0,6,6,16.7,1,2
J.T. Gray,51495,S,NO,5,0,,0,0,20,66.2,68.0,77.5,56.7,61.0,80.6,,0,0,9,9,0.0,0,0
Dre Greenlaw,51503,LB,SF,6,12,1.8,0,0,28,62.9,69.2,0.0,68.4,78.0,63.3,4.3,1,2,95,95,9.5,9,10
Kenny Moore II,51596,CB,IND,17,5,2.4,1,0,14,62.1,66.6,87.3,71.9,73.3,58.0,15.4,6,2,370,379,5.4,20,28
Khyiris Tonga,52000,DI,CHI,15,10,2.3,0,0,6,60.0,52.1,26.7,60.4,54.1,29.3,17.9,5,2,134,138,6.7,9,13
Isaiah Dunn,52129,CB,NYJ,4,1,20.0,0,0,22,60.0,54.8,79.4,,36.1,81.1,0.0,0,0,51,51,0.0,0,1
Paulson Adebo,52280,CB,NO,17,2,4.5,1,0,20,61.4,60.3,18.0,,62.2,41.8,15.8,3,7,268,274,2.6,7,14
Anthony Chesley,54369,CB,IND,3,0,,1,0,14,76.2,68.0,0.0,55.3,46.5,29.8,,0,1,24,25,0.0,0,0
Tarron Jackson,54410,ED,PHI,18,3,2.4,1,0,24,70.3,66.3,43.8,61.1,69.3,67.3,0.0,0,2,110,110,8.2,9,11
D.J. Montgomery,55003,WR,NYJ,1,0,,0,0,22,,60.0,60.4,,60.0,,,0,0,1,1,0.0,0,0
Malcolm Koonce,55015,ED,LV,4,0,1.0,0,0,23,,60.8,81.1,72.7,43.8,72.6,0.0,0,0,23,23,4.3,1,1
Ledarius Mack,55041,ED,CHI,3,1,,0,0,6,60.0,55.7,0.0,67.5,60.8,71.6,0.0,0,1,15,15,0.0,0,0
Darrick Forrest,55087,S,WAS,2,0,5.7,0,0,32,55.9,66.1,71.1,69.3,72.6,42.2,0.0,0,0,9,9,22.2,2,3
Harrison Hand,55576,CB,MIN,1,0,,0,0,18,60.0,62.2,63.7,,60.0,,,0,0,1,1,0.0,0,0
A.J. Terrell,55586,CB,ATL,16,6,7.2,0,0,2,85.6,82.6,87.9,69.6,59.8,50.0,17.2,5,4,433,448,0.9,4,18
Marco Wilson,55592,CB,ARZ,15,2,8.4,1,0,1,47.8,48.6,88.7,60.0,51.6,63.0,25.0,3,7,279,283,0.7,2,7
C.J. Henderson,55593,CB,CAR,12,3,4.1,0,0,5,46.8,50.7,83.9,,63.8,42.4,20.0,3,0,168,172,3.0,5,9
Lonnie Johnson Jr.,55615,S,HST,12,7,7.7,0,0,13,33.3,31.7,15.9,,46.8,32.4,28.6,8,4,250,254,1.2,3,13
Amik Robertson,55619,CB,LV,3,4,9.4,0,0,23,39.9,37.2,80.4,,36.2,39.1,25.0,3,1,64,65,1.6,1,5
Kary Vincent Jr.,55631,CB,PHI,1,0,,0,0,24,47.7,42.3,74.6,,39.3,25.9,,0,0,11,11,0.0,0,0
DeeJay Dallas,55632,HB,SEA,1,0,,0,0,29,,59.9,60.0,,60.0,,,0,1,1,1,0.0,0,0
Josiah Scott,55634,CB,PHI,3,0,1.0,0,0,24,59.5,58.5,78.5,,52.9,65.2,0.0,0,0,28,28,7.1,2,2
Shaun Wade,55673,CB,NE,1,1,,0,0,19,64.5,63.6,70.6,,59.4,73.3,0.0,0,0,7,7,0.0,0,0
Jeffrey Okudah,55674,CB,DET,1,0,11.0,0,0,11,53.0,53.0,76.6,,54.8,77.3,0.0,0,0,22,22,0.0,0,1
Tre Norwood,55675,S,PIT,13,2,5.3,0,0,25,49.2,50.4,38.3,37.4,78.1,39.0,0.0,0,1,79,82,3.8,3,4
Tre Brown,55677,CB,SEA,5,0,,0,0,29,60.9,61.1,81.9,,58.1,54.7,100.0,1,1,91,93,0.0,0,0
