player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Drew Sample,47259,TE,CIN,2,-1.0,0,100.0,,0,0,0,0.0,0,0,7,0,68.3,64.0,52.3,56.4,53.9,66.7,14,0,2,42.9,9,21,0,2,57.1,12,0.0,0,79.2,2,0,19.0,4,-2,0,0.0,-1.0,-0.17
Larry Rountree III,57308,HB,LAC,3,-7.5,0,100.0,,0,0,0,0.0,0,1,27,0,68.3,75.5,55.1,73.0,75.6,0.0,0,0,13,14.3,1,7,0,2,85.7,6,0.0,0,95.8,2,0,0.0,0,14,29,14.5,7.0,2.33
Gus Edwards,46027,HB,BLT,10,-1.0,0,50.0,,0,0,0,0.0,0,1,3,0,64.7,63.5,82.7,59.5,53.8,0.0,0,0,13,27.1,13,48,0,1,72.9,35,12.5,6,70.8,2,0,4.2,2,13,18,18.0,13.0,0.37
Benny Snell Jr.,45954,HB,PIT,3,-1.5,1,100.0,,0,0,0,0.0,0,1,25,0,68.3,78.6,84.0,35.6,74.2,0.0,0,0,11,25.0,5,20,0,2,65.0,13,0.0,0,102.1,2,0,0.0,0,17,20,10.0,8.5,1.31
Trayveon Williams,45775,HB,CIN,6,10.0,1,100.0,,0,0,0,0.0,0,1,7,0,68.3,81.1,82.3,80.9,81.6,0.0,0,0,24,17.4,4,23,0,2,78.3,18,8.7,2,118.8,2,0,13.0,3,30,10,5.0,15.0,1.67
Sean McKeon,42266,TE,DAL,13,2.0,0,100.0,,0,0,0,0.0,0,1,9,0,68.3,64.0,47.8,81.0,58.9,64.7,22,0,10,35.3,12,34,0,2,64.7,22,0.0,0,89.6,2,0,5.9,2,11,7,3.5,5.5,0.5
Charlie Woerner,42257,TE,SF,13,21.5,0,0.0,,0,0,0,100.0,1,0,28,0,27.9,,44.1,68.6,37.2,67.9,38,0,0,30.4,17,56,1,0,64.3,36,21.4,12,39.6,2,0,10.7,6,0,0,,,0.0
Kene Nwangwu,40547,HB,MIN,3,0.0,0,100.0,,0,0,0,0.0,0,1,18,0,68.3,84.9,56.4,11.2,73.3,0.0,0,0,16,22.2,2,9,0,2,77.8,7,0.0,0,110.4,2,0,0.0,0,21,21,10.5,10.5,3.0
Jaelon Darden,61522,WR,CLV,8,5.5,0,100.0,,0,0,0,0.0,0,1,8,0,68.3,89.0,52.9,,57.2,0.0,0,0,25,0.0,0,43,1,2,93.0,40,39.5,17,118.8,2,0,60.5,26,26,15,7.5,13.0,0.65
Feleipe Franks,40217,QB,ATL,8,27.0,0,0.0,0.0,0,1,0,,0,0,2,0,,61.9,47.5,74.3,46.0,15.4,4,0,0,11.5,3,26,1,0,88.5,23,46.2,12,39.6,2,0,30.8,8,0,0,,,0.0
