player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
L'Jarius Sneed,40588,CB,KC,12,0,0,16,63.9,1,4,26,7.8,11.5,3,3,25.0,4,358,28,9,0,75.1,0,2,10,7.1,20.0,2,50.0,4,156,11,6
Alohi Gilman,41662,S,LAC,3,0,0,27,67.3,1,0,3,5.5,0.0,0,0,16.7,0,55,3,1,0,55.8,0,0,2,9.5,0.0,0,0.0,0,21,2,0
Ed Oliver,42200,DI,BUF,19,3,2,4,72.3,4,30,413,99.1,11.6,48,8,4.8,3,439,435,37,0,79.7,4,26,203,100.0,18.7,38,8.9,3,215,215,33
Isaiah Simmons,42451,LB,ARZ,16,0,1,1,54.1,1,8,55,22.0,10.9,6,5,11.8,2,264,58,11,0,63.2,1,3,25,19.5,16.0,4,16.0,2,133,26,6
K'Von Wallace,42467,S,PHI,9,0,0,24,73.7,0,0,5,4.6,40.0,2,0,0.0,0,109,5,0,0,76.7,0,0,4,8.7,50.0,2,0.0,0,46,4,0
Antoine Winfield Jr.,42475,S,TB,19,1,0,30,77.6,2,4,56,6.8,12.5,7,1,10.7,3,854,58,9,0,54.3,0,1,19,5.3,10.5,2,2.6,0,374,20,1
Chris Jackson,42512,CB,TEN,9,0,0,31,45.5,0,2,8,4.7,25.0,2,0,12.5,0,171,8,2,0,46.4,0,2,5,6.9,40.0,2,20.0,0,72,5,2
Cam Brown,42516,ED,NYG,11,0,0,21,52.9,3,4,65,92.1,9.2,6,0,5.4,0,76,70,7,0,56.7,3,1,40,97.6,7.5,3,5.0,0,42,41,4
Daniel Thomas,42544,S,JAX,5,0,0,15,58.7,0,0,8,7.6,12.5,1,0,0.0,0,105,8,0,0,53.1,0,0,3,5.9,0.0,0,0.0,0,51,3,0
Krys Barnes,42548,LB,GB,14,0,0,12,56.4,1,3,20,7.6,15.0,3,0,15.0,1,275,21,5,0,57.8,0,2,9,9.4,22.2,2,11.1,0,96,9,2
Nick Bosa,42741,ED,SF,2,0,0,28,68.9,1,4,41,97.7,14.6,6,0,6.1,0,44,43,5,0,57.0,0,0,16,100.0,12.5,2,0.0,0,18,18,0
