player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Robert Spillane,50918,LB,PIT,1,0,,,100.0,,,0,0,0,,25,60.0,65.3,65.3,,60.0,70.9,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Leighton Vander Esch,50950,LB,DAL,9,6,5.3,79.1,92.1,8.0,6.3,0,2,3,7.0,9,65.5,58.4,82.4,78.0,43.1,44.8,0,30,8.1,3,3,0,113.5,34,293,318,9,28,43,2,323,218,1.2,9.5
Bobby Okereke,50954,LB,IND,16,2,6.0,82.4,92.8,7.4,6.1,0,2,1,2.9,14,81.2,78.4,80.7,64.4,67.5,69.6,0,24,8.3,2,1,0,102.0,28,219,236,11,20,34,1,208,120,1.0,7.4
Travin Howard,50959,LB,LA,5,1,9.2,58.8,98.6,6.9,4.1,0,0,3,17.6,26,56.9,60.7,77.9,58.9,69.1,60.6,0,37,16.7,2,2,1,79.3,10,72,73,4,9,17,0,115,45,1.7,11.5
Ja'Whaun Bentley,50966,LB,NE,17,4,3.9,83.3,77.0,7.4,6.2,0,0,1,5.6,19,65.5,66.0,81.7,67.7,60.1,61.0,0,23,6.7,1,1,1,91.0,15,127,165,4,10,18,0,105,58,0.9,7.0
Ben Burr-Kirven,50967,LB,SEA,2,0,,,50.0,,,0,0,0,,29,60.0,59.2,66.5,59.1,60.0,,0,,,0,0,0,0.0,0,1,2,0,0,0,0,0,0,0.0,
Frankie Luvu,51028,ED,NYJ,8,0,4.7,100.0,51.9,8.0,8.0,0,0,0,0.0,22,48.5,48.1,79.6,64.8,38.4,45.1,0,12,0.0,0,0,0,94.4,3,27,52,3,5,3,0,20,6,0.8,6.7
Kenny Young,51029,LB,LA,4,0,0.3,100.0,71.9,6.7,6.7,0,0,0,0.0,26,42.9,53.8,77.6,59.7,67.4,82.1,0,26,0.0,0,0,0,158.3,6,41,57,1,6,6,1,80,78,2.0,13.3
Jahlani Tavai,51055,LB,DET,15,2,4.9,73.9,73.8,13.5,10.0,0,0,1,4.3,11,61.1,61.6,62.7,51.4,65.9,61.8,1,25,17.6,3,1,1,73.5,17,245,332,4,12,23,0,154,98,0.7,9.1
Julian Love,51081,S,NYG,8,1,6.0,69.2,95.1,13.1,9.1,0,0,2,7.7,21,65.2,70.5,81.3,67.7,74.9,61.4,1,29,12.5,2,2,0,84.5,18,252,265,4,13,26,1,174,92,0.7,9.7
Ben Niemann,51099,LB,KC,18,6,3.1,84.8,82.6,7.6,6.4,0,0,2,4.3,16,64.2,57.1,83.9,49.9,45.5,78.6,0,20,5.7,2,0,0,104.3,39,319,386,8,27,46,1,336,260,1.1,8.6
A.J. Moore,51146,S,HST,7,0,-5.0,100.0,46.7,6.0,6.0,0,0,0,0.0,13,95.5,93.4,91.6,70.2,49.6,83.7,0,-2,0.0,0,0,0,79.2,1,7,15,1,1,1,0,-2,3,-0.3,-2.0
Taylor Rapp,51172,S,LA,15,12,6.9,70.1,95.7,10.2,7.2,0,2,6,9.0,26,61.4,63.3,61.3,68.4,64.9,80.8,2,46,8.2,4,6,2,86.9,47,508,531,15,33,67,1,544,274,1.1,11.6
Maurice Smith,51190,S,WAS,1,0,,,75.0,,,0,0,0,,32,61.7,54.8,69.6,58.4,57.4,73.5,0,,,0,0,0,0.0,0,3,4,0,0,0,0,0,0,0.0,
Joshua Kalu,51203,CB,TEN,3,0,19.3,75.0,97.0,9.7,7.3,0,0,1,25.0,31,62.5,63.2,88.4,60.0,61.1,76.3,0,23,0.0,0,1,0,116.7,3,32,33,0,3,4,0,53,2,1.8,17.7
Minkah Fitzpatrick,51206,S,PIT,16,7,15.1,65.2,98.8,37.3,24.3,2,1,5,21.7,25,77.4,79.8,45.3,69.4,86.3,59.7,5,83,14.3,6,4,4,95.6,15,601,608,7,29,23,3,216,73,0.4,14.4
Steven Parker,51220,S,MIA,12,0,10.1,70.0,98.5,27.0,18.9,0,1,1,10.0,17,62.4,63.5,26.3,56.6,68.4,49.9,2,37,18.2,2,1,1,102.1,7,202,205,0,9,10,3,100,51,0.5,14.3
Joel Iyiegbuniwe,51221,LB,CHI,1,0,,,100.0,,,0,0,0,,6,60.0,42.1,67.8,,57.3,,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
Fred Warner,51222,LB,SF,19,7,4.6,73.4,92.5,9.4,6.9,1,1,9,9.6,28,74.5,63.5,51.9,68.3,46.8,51.4,2,38,16.4,12,8,2,104.2,69,689,745,23,54,94,6,644,410,1.0,9.3
Rashaan Gaulden,51241,S,NYG,2,0,-3.5,100.0,100.0,3.0,3.0,0,0,0,0.0,21,67.2,49.6,73.6,,32.4,26.8,0,6,0.0,0,0,0,87.5,2,7,7,0,1,2,0,10,17,1.7,5.0
Armani Watts,51264,S,KC,8,2,15.5,50.0,93.8,58.0,29.0,0,0,0,0.0,16,60.8,57.7,82.4,64.5,45.0,86.5,0,13,0.0,0,0,1,70.8,1,61,65,1,3,2,0,13,0,0.2,13.0
Tracy Walker,51266,S,DET,13,2,10.8,66.7,99.2,15.4,10.3,1,1,9,18.8,11,76.0,73.5,37.8,90.4,64.5,66.9,1,45,9.1,5,7,4,124.3,32,523,527,10,48,48,5,468,184,1.0,14.6
Drue Tranquill,51276,LB,LAC,12,2,4.8,80.5,94.6,6.5,5.2,0,0,1,2.4,27,62.8,66.6,83.5,53.7,69.6,62.2,0,47,6.1,2,1,0,107.4,33,229,242,13,29,41,1,321,186,1.5,9.7
Mike Edwards,51282,S,TB,14,2,6.1,66.7,95.7,16.5,11.0,0,3,5,13.9,30,52.5,58.2,84.4,59.0,74.3,42.9,0,37,18.2,6,4,0,104.3,24,421,440,12,25,36,2,243,122,0.6,10.1
Khari Willis,51304,S,IND,14,3,4.2,87.1,95.0,13.4,11.7,0,1,2,6.5,14,66.4,69.5,86.6,60.0,71.2,62.8,0,21,12.8,5,1,1,112.5,27,383,403,10,31,31,2,181,130,0.5,6.7
Sean Chandler,51315,S,NYG,8,2,8.0,100.0,68.2,7.5,7.5,1,0,0,0.0,21,31.1,44.4,72.5,68.3,70.5,43.0,0,16,25.0,1,0,1,118.8,2,15,22,0,1,2,0,26,10,1.7,13.0
Terrell Edmunds,51334,S,PIT,16,4,10.8,73.0,96.9,20.8,15.2,0,0,5,13.5,25,58.3,63.6,85.5,63.8,70.9,70.2,0,47,7.7,4,3,2,120.8,27,602,621,12,44,37,2,354,129,0.6,13.1
Will Harris,51336,S,DET,16,3,14.2,75.0,99.1,36.1,27.1,1,0,1,6.3,11,55.4,55.3,25.0,73.7,58.5,46.4,0,33,17.4,4,0,3,147.4,12,462,466,4,16,16,3,166,78,0.4,13.8
Derwin James,51368,S,LAC,5,1,1.9,93.3,90.8,10.6,9.9,0,0,0,0.0,27,83.9,82.3,79.6,72.9,70.3,71.5,0,30,11.8,2,0,1,105.6,14,158,174,9,14,15,1,60,46,0.4,4.3
